id,turniir,algushetk,lopphetk,valge,must,valge_tulemus,musta_tulemus,kokkuvote
26,42,'2005-03-04 08:01:00.000','2005-03-04 08:20:45.000',73,82,1,1,
27,42,'2005-03-04 08:01:00.000','2005-03-04 08:17:12.000',71,93,0,2,
28,42,'2005-03-04 08:01:00.000','2005-03-04 08:14:49.000',87,79,0,2,
29,42,'2005-03-04 08:02:00.000','2005-03-04 08:29:14.000',74,89,0,2,
30,42,'2005-03-04 08:02:00.000','2005-03-04 08:25:43.000',92,84,1,1,
31,42,'2005-03-04 08:02:00.000','2005-03-04 08:31:34.000',89,81,1,1,
32,42,'2005-03-04 08:05:00.000','2005-03-04 08:28:16.000',85,91,1,1,
33,42,'2005-03-04 08:05:00.000','2005-03-04 08:34:11.000',85,86,1,1,
34,42,'2005-03-04 09:01:00.000','2005-03-04 09:33:28.000',78,75,0,2,
35,42,'2005-03-04 09:01:00.000','2005-03-04 09:19:08.000',91,71,2,0,
36,42,'2005-03-04 09:01:00.000','2005-03-04 09:19:02.000',90,87,0,2,
37,42,'2005-03-04 09:01:00.000','2005-03-04 09:15:26.000',89,73,1,1,
38,42,'2005-03-04 09:01:00.000','2005-03-04 09:33:44.000',87,74,0,2,
39,42,'2005-03-04 09:02:00.000','2005-03-04 09:23:07.000',88,76,2,0,
40,42,'2005-03-04 09:03:00.000','2005-03-04 09:33:11.000',82,92,1,1,
41,42,'2005-03-04 10:01:00.000','2005-03-04 10:14:20.000',91,83,2,0,
42,42,'2005-03-04 10:01:00.000','2005-03-04 10:30:31.000',89,78,1,1,
43,42,'2005-03-04 10:01:00.000','2005-03-04 10:30:50.000',76,82,1,1,
44,42,'2005-03-04 10:01:00.000','2005-03-04 10:17:15.000',72,74,2,0,
45,42,'2005-03-04 10:02:00.000','2005-03-04 10:29:06.000',85,80,2,0,
46,42,'2005-03-04 10:02:00.000','2005-03-04 10:26:31.000',75,84,2,0,
47,42,'2005-03-04 10:03:00.000','2005-03-04 10:31:36.000',81,77,0,2,
48,42,'2005-03-04 11:01:00.000','2005-03-04 11:27:01.000',87,93,2,0,
49,42,'2005-03-04 11:01:00.000','2005-03-04 11:34:58.000',82,78,2,0,
50,42,'2005-03-04 11:01:00.000','2005-03-04 11:25:14.000',85,89,1,1,
51,42,'2005-03-04 11:02:00.000','2005-03-04 11:22:12.000',88,81,2,0,
52,42,'2005-03-04 11:02:00.000','2005-03-04 11:30:30.000',81,71,0,2,
53,42,'2005-03-04 11:02:00.000','2005-03-04 11:26:46.000',90,71,0,2,
54,42,'2005-03-04 11:03:00.000','2005-03-04 11:24:35.000',92,76,1,1,
55,42,'2005-03-04 12:01:00.000','2005-03-04 12:25:51.000',87,82,0,2,
56,42,'2005-03-04 12:01:00.000','2005-03-04 12:19:44.000',73,81,1,1,
57,42,'2005-03-04 12:01:00.000','2005-03-04 12:16:11.000',71,92,0,2,
58,42,'2005-03-04 12:01:00.000','2005-03-04 12:24:37.000',92,78,1,1,
59,42,'2005-03-04 12:01:00.000','2005-03-04 12:23:53.000',90,78,0,2,
60,42,'2005-03-04 12:03:00.000','2005-03-04 12:26:21.000',83,79,1,1,
61,42,'2005-03-04 12:03:00.000','2005-03-04 12:19:28.000',89,75,1,1,
62,42,'2005-03-04 12:04:00.000','2005-03-04 12:17:17.000',91,80,2,0,
63,42,'2005-03-04 12:04:00.000','2005-03-04 12:15:11.000',93,91,0,2,
64,42,'2005-03-04 13:01:00.000','2005-03-04 13:21:49.000',73,86,1,1,
65,42,'2005-03-04 13:01:00.000','2005-03-04 13:28:17.000',74,92,0,2,
66,42,'2005-03-04 13:01:00.000','2005-03-04 13:25:01.000',76,93,1,1,
67,42,'2005-03-04 13:01:00.000','2005-03-04 13:22:58.000',71,79,0,2,
68,42,'2005-03-04 13:01:00.000','2005-03-04 13:21:46.000',73,83,1,1,
69,42,'2005-03-04 13:01:00.000','2005-03-04 13:34:47.000',84,83,0,2,
70,42,'2005-03-04 13:01:00.000','2005-03-04 13:29:10.000',85,84,2,0,
71,42,'2005-03-04 13:01:00.000','2005-03-04 13:30:16.000',83,74,1,1,
72,42,'2005-03-04 13:02:00.000','2005-03-04 13:11:41.000',89,88,1,1,
73,42,'2005-03-04 13:02:00.000','2005-03-04 13:32:08.000',82,89,1,1,
74,42,'2005-03-04 13:04:00.000','2005-03-04 13:14:50.000',87,81,0,2,
75,42,'2005-03-04 14:01:00.000','2005-03-04 14:22:10.000',88,79,2,0,
76,42,'2005-03-04 14:01:00.000','2005-03-04 14:22:38.000',92,79,1,1,
77,42,'2005-03-04 14:01:00.000','2005-03-04 14:29:17.000',72,76,2,0,
78,42,'2005-03-04 14:01:00.000','2005-03-04 14:34:55.000',73,92,1,1,
79,42,'2005-03-04 14:01:00.000','2005-03-04 14:36:27.000',86,79,1,1,
80,42,'2005-03-04 14:02:00.000','2005-03-04 14:30:33.000',89,80,1,1,
81,42,'2005-03-04 14:03:00.000','2005-03-04 14:17:21.000',91,84,2,0,
82,42,'2005-03-04 14:03:00.000','2005-03-04 14:25:29.000',75,82,2,0,
83,42,'2005-03-04 14:04:00.000','2005-03-04 14:18:37.000',78,85,2,0,
84,42,'2005-03-04 15:01:00.000','2005-03-04 15:25:22.000',83,80,1,1,
85,42,'2005-03-04 15:01:00.000','2005-03-04 15:22:43.000',81,85,2,0,
86,42,'2005-03-04 15:01:00.000','2005-03-04 15:19:05.000',90,91,2,0,
87,42,'2005-03-04 15:01:00.000','2005-03-04 15:27:03.000',77,72,1,1,
88,42,'2005-03-04 15:02:00.000','2005-03-04 15:26:39.000',73,76,1,1,
89,42,'2005-03-04 15:02:00.000','2005-03-04 15:25:22.000',86,74,1,1,
90,42,'2005-03-04 16:01:00.000','2005-03-04 16:30:37.000',89,84,1,1,
91,42,'2005-03-04 16:01:00.000','2005-03-04 16:22:52.000',71,73,0,2,
92,42,'2005-03-04 16:02:00.000','2005-03-04 16:12:26.000',72,85,2,0,
93,42,'2005-03-04 16:02:00.000','2005-03-04 16:33:14.000',91,77,2,0,
94,42,'2005-03-04 16:02:00.000','2005-03-04 16:35:18.000',80,82,0,2,
95,42,'2005-03-04 16:02:00.000','2005-03-04 16:35:18.000',88,87,2,0,
96,42,'2005-03-04 16:03:00.000','2005-03-04 16:39:04.000',79,90,1,1,
97,42,'2005-03-04 16:03:00.000','2005-03-04 16:31:01.000',93,81,0,2,
98,42,'2005-03-04 16:03:00.000','2005-03-04 16:17:55.000',93,75,0,2,
99,42,'2005-03-04 17:01:00.000','2005-03-04 17:30:53.000',76,85,1,1,
100,42,'2005-03-04 17:01:00.000','2005-03-04 17:21:52.000',82,72,2,0,
